tid,id,beer-name,style,ounces,abv,ibu,brewery_id,brewery-name,city,state
1248,1815,SPRYE,American Pale Ale (APA),12.0 oz.,0.05%,40.0,91,Madtree Brewing Company,Cincinnati,OH
1256,75,Epic IPA,American IPA,12.0 oz.,0.065%,N/A,534,Mammoth Brewing Company,Mammoth Lakes,CA
1259,1628,Festivus (1),Winter Warmer,12.0 oz.,0.07200000000000001%,N/A,356,Manayunk Brewing Company,Philadelphia,PA
1279,725,Cant Dog Imperial Pale Ale,American Double / Imperial IPA,16.0 oz.,0.09699999999999999%,N/A,317,Marshall Wharf Brewing Company,Belfast,ME
1293,958,DAX Light (1998),Light Lager,12.0 oz.,0.045%,N/A,299,Matt Brewing Company,Utica,NY
1306,690,Sobrehumano Palena'ole,American Amber / Red Ale,12.0 oz.,0.06%,24.0,375,Maui Brewing Company,Lahaina,HI
1321,2184,Humpback Blonde Ale,American Blonde Ale,12.0 oz.,0.042%,22.0,203,Mehana Brewing Co.,Hilo,HI
1334,434,Sockeye Red IPA,American IPA,12.0 oz.,0.057%,70.0,223,Midnight Sun Brewing Company,Anchorage,AK
1335,2668,Habitus (2014),American Double / Imperial IPA,16.0 oz.,0.08%,100.0,3,Mike Hess Brewing Company,San Diego,CA
135,1332,Greenbelt Farmhouse Ale,Saison / Farmhouse Ale,12.0 oz.,0.051%,20.0,426,Armadillo Ale Works,Denton,TX
1356,1080,Hop Happy,American IPA,16.0 oz.,0.075%,51.0,284,Milwaukee Brewing Company,Milwaukee,WI
1359,172,Flaming Damsel Lager (2010),Vienna Lager,16.0 oz.,0.048%,18.0,284,Milwaukee Brewing Company,Milwaukee,WI
1389,1495,Lomaland,Saison / Farmhouse Ale,16.0 oz.,0.055%,30.0,209,Modern Times Beer,San Diego,CA
1397,1907,Montauk Summer Ale,American Blonde Ale,12.0 oz.,0.055999999999999994%,28.0,276,Montauk Brewing Company,Montauk,NY
1402,1051,Black Bear Dark Lager,Schwarzbier,12.0 oz.,0.046%,24.0,326,Morgan Street Brewery,Saint Louis,MO
1406,408,Sunny Haze,Hefeweizen,12.0 oz.,0.05%,N/A,540,Mother Earth Brewing Company,Kinston,NC
1421,2224,Bohemian Pils,American Pilsner,16.0 oz.,0.052000000000000005%,30.0,143,Narragansett Brewing Company,Providence,RI
1426,403,Narragansett Summer Ale,American Pale Wheat Ale,16.0 oz.,0.042%,24.0,143,Narragansett Brewing Company,Providence,RI
1434,746,CuDa Cascadian Dark Ale (2012),American Black Ale,16.0 oz.,0.07400000000000001%,N/A,387,Natian Brewery,Portland,OR
1446,1978,1554 Black Lager,Euro Dark Lager,12.0 oz.,0.055999999999999994%,21.0,82,New Belgium Brewing Company,Fort Collins,CO
1448,1737,California Route,American Amber / Red Lager,12.0 oz.,0.055%,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1450,1690,Sunshine Wheat Beer,American Pale Wheat Ale,12.0 oz.,0.048%,N/A,82,New Belgium Brewing Company,Fort Collins,CO
1451,1586,Fat Tire Amber Ale,American Amber / Red Ale,12.0 oz.,0.052000000000000005%,18.0,82,New Belgium Brewing Company,Fort Collins,CO
1455,564,Ranger IPA,American IPA,16.0 oz.,0.065%,70.0,82,New Belgium Brewing Company,Fort Collins,CO
1461,885,Sea Hag IPA,American IPA,12.0 oz.,0.062%,N/A,410,New England Brewing Company,Woodbridge,CT
1466,43,668 Neighbor of the Beast (16 oz.) (2010),Belgian Pale Ale,16.0 oz.,0.09%,N/A,410,New England Brewing Company,Woodbridge,CT
147,980,Bitter Bitch Imperial IPA,American Double / Imperial IPA,12.0 oz.,0.08199999999999999%,138.0,374,Astoria Brewing Company,Astoria,OR
1471,2272,Rebirth Pale Ale,American Pale Ale (APA),12.0 oz.,0.05%,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1474,486,Hopitoulas IPA,American IPA,16.0 oz.,0.065%,N/A,174,New Orleans Lager & Ale Brewing ...,New Orleans,LA
1487,1622,Jam Session,American Pale Ale (APA),16.0 oz.,0.051%,31.0,359,NoDa Brewing Company,Charlotte,NC
1495,2690,Wall's End,English Brown Ale,16.0 oz.,0.048%,19.0,0,NorthGate Brewing,Minneapolis,MN
1499,1854,Blue Boots IPA,American IPA,16.0 oz.,0.069%,N/A,293,Northampton Brewery,Northamtpon,MA
1501,1226,Three Skulls Ale Pale Ale,American Pale Ale (APA),16.0 oz.,0.063%,42.0,450,Northwest Brewing Company,Pacific,WA
151,2502,Vanilla Java Porter,American Porter,16.0 oz.,0.055%,12.0,72,Atwater Brewery,Detroit,MI
1521,2335,Perpetual Darkness,Belgian Strong Dark Ale,12.0 oz.,0.092%,72.0,148,Odyssey Beerwerks,Arvada,CO
1533,600,Boji Beach Golden Rye Ale,Rye Beer,16.0 oz.,0.05%,23.0,471,Okoboji Brewing Company,Spirit Lake,IA
1544,1530,Clem's Gold,American Pale Lager,16.0 oz.,0.053%,N/A,390,Orlison Brewing Company,Airway Heights,WA
1545,1529,Lizzy's Red,American Amber / Red Lager,16.0 oz.,0.055%,N/A,390,Orlison Brewing Company,Airway Heights,WA
1573,661,Chaka,Belgian Strong Pale Ale,16.0 oz.,0.08%,N/A,166,Oskar Blues Brewery,Longmont,CO
1593,742,Dale's Pale Ale (2003),American Pale Ale (APA),12.0 oz.,0.065%,65.0,503,Oskar Blues Brewery,Lyons,CO
161,2589,Raja,American Double / Imperial IPA,12.0 oz.,0.08%,N/A,37,Avery Brewing Company,Boulder,CO
1617,775,Mutton Buster,American Brown Ale,12.0 oz.,0.055%,25.0,307,Payette Brewing Company,Garden City,ID
1645,1636,Local 5 Pale Ale,American Pale Ale (APA),16.0 oz.,0.055999999999999994%,N/A,355,Pikes Peak Brewing Company,Monument,CO
1674,188,Pallavicini Pilsner (2009),Czech Pilsener,12.0 oz.,0.057999999999999996%,21.0,135,Pug Ryan's Brewery,Dillon,CO
1676,399,Pyramid Hefeweizen (2011),Hefeweizen,12.0 oz.,0.052000000000000005%,18.0,544,Pyramid Breweries,Seattle,WA
1677,82,Haywire Hefeweizen (2010),Hefeweizen,16.0 oz.,0.052000000000000005%,18.0,544,Pyramid Breweries,Seattle,WA
1689,830,Firemans #4 Blonde Ale (2015),American Blonde Ale,12.0 oz.,0.051%,21.0,128,Real Ale Brewing Company,Blanco,TX
1695,2514,Suicide Blonde IPA,Belgian IPA,16.0 oz.,0.07%,N/A,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1696,2513,Vanilla Porter,American Porter,16.0 oz.,0.047%,25.0,68,Red Shedman Farm Brewery and Hop...,Mt. Airy,MD
1711,636,Ryeteous Rye IPA (2012),American IPA,16.0 oz.,0.07%,100.0,110,Renegade Brewing Company,Denver,CO
1724,417,Oktoberfest Revolution,Märzen / Oktoberfest,12.0 oz.,0.057%,25.0,44,Revolution Brewing Company,Chicago,IL
1728,2452,Hustle,American Amber / Red Ale,12.0 oz.,0.057%,42.0,93,Rhinegeist Brewery,Cincinnati,OH
1733,1935,Zen,American Pale Ale (APA),12.0 oz.,0.043%,45.0,93,Rhinegeist Brewery,Cincinnati,OH
1760,1724,Cal and Co. Black Cherry Porter,American Porter,16.0 oz.,,N/A,229,Rochester Mills Brewing Company,Rochester,MI
1775,1782,Kiss Off IPA,American IPA,12.0 oz.,0.063%,N/A,164,Round Guys Brewing,Lansdale,PA
1776,1552,Dog Days Summer Ale,Kölsch,12.0 oz.,0.045%,28.0,164,Round Guys Brewing,Lansdale,PA
1780,883,CAPT Black IPA,American Black Ale,16.0 oz.,0.073%,55.0,397,Ruhstaller Beer Company,Sacramento,CA
1783,1867,Saint Archer IPA,American IPA,12.0 oz.,0.068%,66.0,288,Saint Archer Brewery,San Diego,CA
1784,1865,Saint Archer Pale Ale,American Pale Ale (APA),12.0 oz.,0.052000000000000005%,40.0,288,Saint Archer Brewery,San Diego,CA
1786,2599,Sex Panther,American Porter,12.0 oz.,0.069%,20.0,30,SanTan Brewing Company,Chandler,AZ
1794,1072,SanTan HefeWeizen,Hefeweizen,12.0 oz.,0.05%,15.0,30,SanTan Brewing Company,Chandler,AZ
1796,852,Sex Panther (2014),American Porter,12.0 oz.,0.069%,20.0,30,SanTan Brewing Company,Chandler,AZ
1804,124,Epicenter Amber Ale (2010),American Amber / Red Ale,12.0 oz.,0.055%,20.0,30,SanTan Brewing Company,Chandler,AZ
1814,305,Imperial Java Stout,Russian Imperial Stout,12.0 oz.,0.08%,N/A,392,Santa Fe Brewing Company,Santa Fe,NM
1817,1477,Oval Beach Blonde Ale,American Blonde Ale,16.0 oz.,0.05%,11.0,398,Saugatuck Brewing Company,Douglas,MI
1819,1466,Ginger Cider,Cider,12.0 oz.,0.065%,N/A,394,Schilling & Company,Seattle,WA
1826,53,Schlafly Summer Lager,Munich Helles Lager,12.0 oz.,0.045%,17.0,428,Schlafly Brewing Company,Saint Louis,MO
1840,1539,Monkey Fist IPA,American IPA,12.0 oz.,0.069%,65.0,385,Shipyard Brewing Company,Portland,ME
1848,1905,Sierra Nevada Pale Ale,American Pale Ale (APA),16.0 oz.,0.055999999999999994%,37.0,83,Sierra Nevada Brewing Company,Chico,CA
1850,1295,Summerfest,Czech Pilsener,12.0 oz.,0.05%,28.0,83,Sierra Nevada Brewing Company,Chico,CA
1854,212,Bear Ass Brown,American Brown Ale,12.0 oz.,0.042%,N/A,551,Silverton Brewery,Silverton,CO
1867,1387,Sweet Action,Cream Ale,16.0 oz.,0.052000000000000005%,34.0,46,Sixpoint Craft Ales,Brooklyn,NY
1868,1386,Righteous Ale,Rye Beer,16.0 oz.,0.063%,57.0,46,Sixpoint Craft Ales,Brooklyn,NY
1887,774,Autumnal Molé Stout,American Stout,12.0 oz.,,N/A,264,Ska Brewing Company,Durango,CO
1901,1211,360° India Pale Ale,American IPA,12.0 oz.,0.062%,N/A,371,Sly Fox Brewing Company,Pottstown,PA
1916,617,Zonker Stout,Foreign / Export Stout,12.0 oz.,0.054000000000000006%,36.0,191,Snake River Brewing Company,Jackson,WY
1928,1424,Boise Co-Op Two Score Ale,Saison / Farmhouse Ale,16.0 oz.,0.055%,N/A,309,Sockeye Brewing Company,Boise,ID
1933,1151,Hell-Diver Pale Ale,American Pale Ale (APA),12.0 oz.,0.052000000000000005%,32.0,309,Sockeye Brewing Company,Boise,ID
1941,1969,Kol' Beer,Kölsch,16.0 oz.,0.05%,22.0,257,South Austin Brewery,South Austin,TX
1942,2024,Montauk Light,Light Lager,12.0 oz.,0.035%,N/A,249,Southampton Publick House,Southampton,NY
1959,1011,Red Cockaded Ale (2013),American Double / Imperial IPA,12.0 oz.,0.085%,110.0,118,Southern Star Brewing Company,Conroe,TX
1978,1819,Spiteful IPA,American IPA,12.0 oz.,0.062%,N/A,175,Spiteful Brewing Company,Chicago,IL
1998,2151,Onyx Black Ale,American Black Ale,12.0 oz.,0.052000000000000005%,9.0,131,Stevens Point Brewery,Stevens Point,WI
200,1965,Sky-Five,American IPA,12.0 oz.,0.067%,70.0,258,Bauhaus Brew Labs,Minneapolis,MN
2002,2115,Point Special Lager,American Adjunct Lager,16.0 oz.,0.047%,9.0,131,Stevens Point Brewery,Stevens Point,WI
2023,637,Monkeynaut IPA,American IPA,12.0 oz.,0.07200000000000001%,70.0,412,Straight to Ale,Huntsville,AL
2031,2415,Unchained #18 Hop Silo,American Double / Imperial IPA,16.0 oz.,0.083%,100.0,58,Summit Brewing Company,St. Paul,MN
2053,1128,Ring of Dingle,Irish Dry Stout,16.0 oz.,0.071%,27.0,25,Sun King Brewing Company,Indianapolis,IN
2062,651,Isis,American Double / Imperial IPA,16.0 oz.,0.091%,91.0,25,Sun King Brewing Company,Indianapolis,IN
2072,2543,Todd the Axe Man,American IPA,16.0 oz.,0.07200000000000001%,N/A,61,Surly Brewing Company,Brooklyn Center,MN
2082,14,Hell,Keller Bier / Zwickel Bier,16.0 oz.,0.051%,20.0,61,Surly Brewing Company,Brooklyn Center,MN
2086,1241,Cotton Mouth,Witbier,12.0 oz.,0.05%,10.0,447,Swamp Head Brewery,Gainesville,FL
2092,2551,Waterkeeper,Hefeweizen,12.0 oz.,0.057%,N/A,49,SweetWater Brewing Company,Atlanta,GA
2093,1710,SweetWater IPA,American IPA,12.0 oz.,0.064%,N/A,49,SweetWater Brewing Company,Atlanta,GA
2096,1164,TailGate Saison,Saison / Farmhouse Ale,12.0 oz.,0.05%,N/A,449,TailGate Beer,San Diego,CA
2099,623,TailGate Hefeweizen,Hefeweizen,24.0 oz.,0.049%,28.0,449,TailGate Beer,San Diego,CA
2100,622,Blacktop Blonde,American Blonde Ale,24.0 oz.,0.05%,19.0,449,TailGate Beer,San Diego,CA
2104,2555,Ginger Peach Saison,Saison / Farmhouse Ale,16.0 oz.,0.048%,20.0,45,Tallgrass Brewing Company,Manhattan,KS
2117,104,Oasis (2010),American Double / Imperial IPA,16.0 oz.,0.07200000000000001%,93.0,45,Tallgrass Brewing Company,Manhattan,KS
2122,1432,Yard Sale Amber Ale,American Amber / Red Ale,16.0 oz.,0.055999999999999994%,N/A,409,Tamarack Brewing Company,Lakeside,MT
2126,2448,Reactor,American IPA,16.0 oz.,0.07%,N/A,7,Tapistry Brewing,Bridgman,MI
2141,1915,The Crusher,American Double / Imperial IPA,16.0 oz.,0.096%,N/A,272,The Alchemist,Waterbury,VT
215,2420,Back Bay IPA,American IPA,12.0 oz.,0.068%,85.0,103,Beer Works Brewery,Lowell,MA
2157,2035,Kolschtal Eddy,Kölsch,16.0 oz.,0.055%,N/A,33,The Dudes' Brewing Company,Torrance,CA
218,2325,Smitten,Rye Beer,16.0 oz.,0.06%,N/A,76,Bell's Brewery,Kalamazoo,MI
2218,433,Greenville Pale Ale,American Pale Ale (APA),12.0 oz.,0.055%,52.0,539,Twin Lakes Brewing Company,Greenville,DE
2222,2212,Twisted X,American Adjunct Lager,12.0 oz.,0.051%,19.0,38,Twisted X Brewing Company,Dripping Springs,TX
2228,1173,Evolutionary IPA (2012),American IPA,12.0 oz.,0.062%,70.0,190,Two Beers Brewing Company,Seattle,WA
2237,1630,Night Cat (2014),American Dark Wheat Ale,12.0 oz.,0.057999999999999996%,43.0,74,Two Brothers Brewing Company,Warrenville,IL
2238,1284,Dog Days Lager,Dortmunder / Export Lager,12.0 oz.,0.051%,17.0,74,Two Brothers Brewing Company,Warrenville,IL
225,2556,Nordic Blonde,American Blonde Ale,12.0 oz.,0.057%,27.0,53,Bent Brewstillery,Roseville,MN
2258,1088,Cutthroat Pale Ale,American Pale Ale (APA),12.0 oz.,0.04%,34.0,159,Uinta Brewing Company,Salt Lake City,UT
2262,2367,Humbucker Helles,Maibock / Helles Bock,16.0 oz.,0.047%,25.0,126,Uncle Billy's Brewery and Smokeh...,Austin,TX
2278,2565,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,Quadrupel (Quad),19.2 oz.,0.128%,N/A,51,Upslope Brewing Company,Boulder,CO
2284,1932,Thai Style White IPA,American White IPA,12.0 oz.,0.065%,33.0,51,Upslope Brewing Company,Boulder,CO
2290,614,Upslope Foreign Style Stout,Foreign / Export Stout,12.0 oz.,0.069%,N/A,51,Upslope Brewing Company,Boulder,CO
2298,1826,Squatters Full Suspension Pale Ale,American Pale Ale (APA),12.0 oz.,0.04%,N/A,302,Utah Brewers Cooperative,Salt Lake City,UT
2327,619,Wachusett Blueberry Ale,Fruit / Vegetable Beer,12.0 oz.,0.045%,10.0,295,Wachusett Brewing Company,Westminster,MA
2328,618,Green Monsta IPA,American IPA,12.0 oz.,0.06%,55.0,295,Wachusett Brewing Company,Westminster,MA
2334,2439,Christmas Ale,Herbed / Spiced Beer,12.0 oz.,0.09%,N/A,100,West Sixth Brewing,Lexington,KY
2337,652,West Sixth IPA,American IPA,12.0 oz.,,N/A,100,West Sixth Brewing,Lexington,KY
234,1158,La Frontera Premium IPA,American IPA,12.0 oz.,0.078%,N/A,463,Big Bend Brewing Company,Alpine,TX
235,1157,Tejas Lager,Czech Pilsener,12.0 oz.,0.047%,N/A,463,Big Bend Brewing Company,Alpine,TX
2350,2341,L'il Lucy's Hot Pepper Ale,Chile Beer,12.0 oz.,0.049%,28.0,132,Weston Brewing Company,Weston,MO
2381,2149,#001 Golden Amber Lager,American Amber / Red Lager,12.0 oz.,0.055%,N/A,211,Wisconsin Brewing Company,Verona,WI
2388,2627,Train Hopper,American IPA,12.0 oz.,0.057999999999999996%,72.0,14,Witch's Hat Brewing Company,South Lyon,MI
2389,2626,Edward’s Portly Brown,American Brown Ale,12.0 oz.,0.045%,N/A,14,Witch's Hat Brewing Company,South Lyon,MI
2403,1045,Wynkoop Pumpkin Ale,Pumpkin Ale,12.0 oz.,0.055%,N/A,424,Wynkoop Brewing Company,Denver,CO
2407,620,B3K Black Lager,Schwarzbier,12.0 oz.,0.055%,N/A,424,Wynkoop Brewing Company,Denver,CO
26,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12.0 oz.,0.049%,17.0,368,21st Amendment Brewery,San Francisco,CA
263,34,Moose Drool Brown Ale (2009),American Brown Ale,12.0 oz.,0.051%,26.0,336,Big Sky Brewing Company,Missoula,MT
295,1321,Brewerhood Brown Ale,American Brown Ale,12.0 oz.,0.055%,N/A,380,Blue Blood Brewing Company,Lincoln,NE
30,796,Brew Free! or Die IPA (2009),American IPA,12.0 oz.,0.07%,70.0,368,21st Amendment Brewery,San Francisco,CA
315,2490,Professor Black,American Stout,12.0 oz.,,N/A,77,Blue Owl Brewing,Austin,TX
316,2489,Little Boss,American Pale Wheat Ale,12.0 oz.,,N/A,77,Blue Owl Brewing,Austin,TX
320,692,Blue Point White IPA,American White IPA,12.0 oz.,0.06%,40.0,489,Blue Point Brewing Company,Patchogue,NY
330,1188,Duke's Cold Nose Brown Ale,American Brown Ale,12.0 oz.,0.06%,N/A,378,Bold City Brewery,Jacksonville,FL
345,1184,Dirtbag Dunkel,Munich Dunkel Lager,16.0 oz.,0.049%,N/A,107,Bonfire Brewing Company,Eagle,CO
347,1023,Mistress Winter Wheat,Winter Warmer,12.0 oz.,0.064%,N/A,107,Bonfire Brewing Company,Eagle,CO
350,996,Demshitz Brown Ale,American Brown Ale,12.0 oz.,0.057999999999999996%,N/A,107,Bonfire Brewing Company,Eagle,CO
358,1427,Samuel Adams Winter Lager,Bock,12.0 oz.,0.055999999999999994%,N/A,300,Boston Beer Company,Boston,MA
371,2107,Plum St. Porter,American Porter,12.0 oz.,0.06%,52.0,219,Bozeman Brewing Company,Bozeman,MT
384,1800,Rollin Dirty Red Ale,Irish Red Ale,12.0 oz.,0.05%,21.0,308,Brew Bus Brewing,Tampa,FL
403,2465,Mind Games,Dunkelweizen,16.0 oz.,0.040999999999999995%,N/A,10,Brewery Vivant,Grand Rapids,MI
404,2433,Sous Chef,Belgian Strong Pale Ale,16.0 oz.,0.08199999999999999%,N/A,10,Brewery Vivant,Grand Rapids,MI
419,1997,Pumpkin Tart,Fruit / Vegetable Beer,16.0 oz.,0.07%,N/A,10,Brewery Vivant,Grand Rapids,MI
420,1977,Undertaker,Belgian Dark Ale,16.0 oz.,0.067%,N/A,10,Brewery Vivant,Grand Rapids,MI
425,1958,Belgian Wit,Witbier,16.0 oz.,0.045%,N/A,10,Brewery Vivant,Grand Rapids,MI
429,1651,Maize & Blueberry,Fruit / Vegetable Beer,16.0 oz.,0.055999999999999994%,N/A,10,Brewery Vivant,Grand Rapids,MI
436,1044,Big Red Coq,American Amber / Red Ale,16.0 oz.,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
439,909,Escoffier Bretta Ale,American Wild Ale,16.0 oz.,0.092%,N/A,10,Brewery Vivant,Grand Rapids,MI
447,387,Farm Hand,Saison / Farmhouse Ale,16.0 oz.,0.055%,N/A,10,Brewery Vivant,Grand Rapids,MI
448,385,Solitude,Belgian Pale Ale,16.0 oz.,0.06%,N/A,10,Brewery Vivant,Grand Rapids,MI
455,919,Chugach Session Ale,Cream Ale,12.0 oz.,0.048%,N/A,493,Broken Tooth Brewing Company,Anchorage,AK
46,2287,Alter Ego,American Black Ale,12.0 oz.,0.055%,N/A,60,4 Hands Brewing Company,Saint Louis,MO
468,27,Original Orange Blossom Ale (Current),Herbed / Spiced Beer,16.0 oz.,0.057999999999999996%,35.0,530,Buckbean Brewing Company,Reno,NV
471,2552,Painted Turtle,American Pale Ale (APA),12.0 oz.,0.045%,N/A,56,BuckleDown Brewing,Lyons,IL
506,1419,Caldera Pale Ale,American Pale Ale (APA),12.0 oz.,0.055999999999999994%,55.0,155,Caldera Brewing Company,Ashland,OR
519,2256,Flower Child (2014),American IPA,12.0 oz.,0.065%,N/A,178,Cambridge Brewing Company,Cambridge,MA
530,1927,Beach Blonde,American Blonde Ale,16.0 oz.,0.049%,10.0,267,Cape Cod Beer,Hyannis,MA
533,2225,Lake House,Munich Helles Lager,12.0 oz.,0.046%,18.0,192,Capital Brewery,Middleton,WI
538,180,Island Wheat,American Pale Wheat Ale,12.0 oz.,0.042%,N/A,192,Capital Brewery,Middleton,WI
546,530,Flagship IPA,English India Pale Ale (IPA),12.0 oz.,0.057%,N/A,179,Carolina Brewery,Pittsboro,NC
566,2210,Special Release,,16.0 oz.,,N/A,29,Cedar Creek Brewery,Seven Points,TX
568,1584,Scruffy's Smoked Alt,Smoked Beer,16.0 oz.,0.051%,35.0,29,Cedar Creek Brewery,Seven Points,TX
